+-----+------------+-----------+------+--------+--------+--------+------------+------------+------------+-------------+-----------+---------------+-------------+---------------+-------+-----------+---------+------+---------+-------+-----------+---------+------+-----+-----+-----+----+----+----+-----+----+-----+------+-----------------------+-----------------------------+
| id  | first_name | last_name | bats | throws | weight | height |   debut    | final_game | birth_year | birth_month | birth_day |  birth_city   | birth_state | birth_country |  id   | player_id | team_id | year | salary  |  id   | player_id | team_id | year |  G  | AB  |  H  | 2B | 3B | HR | RBI | SB | id  | year |         name          |            park             |
| 17  | Jim        | Abbott    | L    | L      | 200    | 75     | 1989-04-08 | 1999-07-21 | 1967       | 9           | 19        | Flint         | MI          | USA           | 11772 | 17        | 82      | 1999 | 400000  | 77969 | 17        | 82      | 1999 | 20  | 21  | 2   | 0  | 0  | 0  | 3   | 0  | 82  | 2001 | Milwaukee Brewers     | Miller Park                 |
| 17  | Jim        | Abbott    | L    | L      | 200    | 75     | 1989-04-08 | 1999-07-21 | 1967       | 9           | 19        | Flint         | MI          | USA           | 6171  | 17        | 93      | 1993 | 2350000 | 70694 | 17        | 93      | 1993 | 32  | 0   | 0   | 0  | 0  | 0  | 0   | 0  | 93  | 2001 | New York Yankees      | Yankee Stadium II           |
| 17  | Jim        | Abbott    | L    | L      | 200    | 75     | 1989-04-08 | 1999-07-21 | 1967       | 9           | 19        | Flint         | MI          | USA           | 7066  | 17        | 93      | 1994 | 2775000 | 71874 | 17        | 93      | 1994 | 24  | 0   | 0   | 0  | 0  | 0  | 0   | 0  | 93  | 2001 | New York Yankees      | Yankee Stadium II           |
| 18  | Kurt       | Abbott    | R    | R      | 180    | 71     | 1993-09-07 | 2001-04-13 | 1969       | 6           | 2         | Zanesville    | OH          | USA           | 13158 | 18        | 4       | 2001 | 600000  | 80653 | 18        | 4       | 2001 | 6   | 9   | 2   | 0  | 0  | 0  | 0   | 1  | 4   | 2001 | Atlanta Braves        | Turner Field                |
| 18  | Kurt       | Abbott    | R    | R      | 180    | 71     | 1993-09-07 | 2001-04-13 | 1969       | 6           | 2         | Zanesville    | OH          | USA           | 10927 | 18        | 95      | 1998 | 1000000 | 76649 | 18        | 49      | 1998 | 42  | 71  | 18  | 6  | 0  | 3  | 15  | 0  | 49  | 2001 | Colorado Rockies      | Coors Field                 |
| 18  | Kurt       | Abbott    | R    | R      | 180    | 71     | 1993-09-07 | 2001-04-13 | 1969       | 6           | 2         | Zanesville    | OH          | USA           | 11565 | 18        | 49      | 1999 | 900000  | 77970 | 18        | 49      | 1999 | 96  | 286 | 78  | 17 | 2  | 8  | 41  | 3  | 49  | 2001 | Colorado Rockies      | Coors Field                 |
| 18  | Kurt       | Abbott    | R    | R      | 180    | 71     | 1993-09-07 | 2001-04-13 | 1969       | 6           | 2         | Zanesville    | OH          | USA           | 6849  | 18        | 55      | 1994 | 109000  | 71875 | 18        | 55      | 1994 | 101 | 345 | 86  | 17 | 3  | 9  | 33  | 3  | 55  | 2001 | Florida Marlins       | Pro Player Stadium          |
| 18  | Kurt       | Abbott    | R    | R      | 180    | 71     | 1993-09-07 | 2001-04-13 | 1969       | 6           | 2         | Zanesville    | OH          | USA           | 7759  | 18        | 55      | 1995 | 119000  | 72906 | 18        | 55      | 1995 | 120 | 420 | 107 | 18 | 7  | 17 | 60  | 4  | 55  | 2001 | Florida Marlins       | Pro Player Stadium          |
| 18  | Kurt       | Abbott    | R    | R      | 180    | 71     | 1993-09-07 | 2001-04-13 | 1969       | 6           | 2         | Zanesville    | OH          | USA           | 8729  | 18        | 55      | 1996 | 250000  | 74158 | 18        | 55      | 1996 | 109 | 320 | 81  | 18 | 7  | 8  | 33  | 3  | 55  | 2001 | Florida Marlins       | Pro Player Stadium          |
| 18  | Kurt       | Abbott    | R    | R      | 180    | 71     | 1993-09-07 | 2001-04-13 | 1969       | 6           | 2         | Zanesville    | OH          | USA           | 9658  | 18        | 55      | 1997 | 650000  | 75411 | 18        | 55      | 1997 | 94  | 252 | 69  | 18 | 2  | 6  | 30  | 3  | 55  | 2001 | Florida Marlins       | Pro Player Stadium          |
